Full-stack*Back-end*Front-end*Wordpress*Javascript*HTML5*CSS3*RestFul API,4000000,Part-time
PHP*codeigniter*MySQL*Git,4000000,Full-time
OWASP*DNS*tcp/ip*cissp,Unknown,Full-time
کارآموزی*Django,Unknown,Full-time
HTML5*CSS3*Bootstrap*Javascript*jQuery*Sql Server*React*Node.js*PHP,Unknown,Full-time
طراحی نرم افزار*تحلیل نرم افزار*C#.Net*Sql Server,Unknown,Full-time
Web Applications*xamarin*IOS*Android,Unknown,Full-time
طراحی سایت*Wordpress*HTML*CSS*PHP*UI  UX,Unknown,Full-time
Back-end*ASP.NET Core*T-SQL,Unknown,Full-time
تست نرم افزار*Big Data*Git,Unknown,Full-time
Back-end*PHP*MySQL*Laravel*MVC*REST*JSON*agile,Unknown,Full-time
هوش تجاری*Oracle BI*CSS3*HTML5,Unknown,Full-time
Android*MVVM*Kotlin*MVP*Git*Design Patterns,Unknown,Full-time
IOS*Swift*MVVM*RxSwift,Unknown,Full-time
Python*Nginx*Django,6500000,Full-time
frontend*HTML*CSS,Unknown,Full-time
Back-end*Java*REST API,9000000,Full-time
Full-stack*PHP*Laravel*OOP,9000000,Full-time
#C*NET Core.*.NET*MVC*RestFul API*jQuery*CSS*Javascript*HTML,2000000,Full-time
Front-end*React*Javascript*CSS*HTML,6500000,Full-time
برنامه نویسی وب*ASP.NET MVC*C#.Net*Sql Server,Unknown,Full-time&Remote
پشتیبانی*پشتیبانی سایت,3000000,Full-time
Java*Android Development*Git*MVC*native*RestFul API,Unknown,Full-time
برنامه نویسی وب*.NET Core*MVC*C#*Sql Server,Unknown,Full-time
Front-end*Angular*angular 8*OOP,6500000,Full-time
Back-end*T-SQL*.NET Core*C#,6500000,Full-time
Node.js*Javascript*RestFul API*SQL*TDD*NoSQL,Unknown,Full-time
Front-end*Angular*typescript,Unknown,Full-time
Laravel*Back-end*PHP*MVC*OOP,Unknown,Full-time
Android*Java*Git,Unknown,Full-time
طراحی سایت*Wordpress,Unknown,Full-time&Remote
PHP*HTML5*Bootstrap4*jQuery*REST API*MySQL,Unknown,Full-time
.NET*ASP.NET MVC*Web API*Linq,Unknown,Full-time
PHP*jQuery*CSS*HTML*Javascript*OOP,Unknown,Full-time
HTML5*Front-end*HTML*CSS3*SASS*Javascript*typescript*jQuery*Bootstrap,6500000,Full-time
Full-stack*PHP*HTML*CSS*Laravel,Unknown,Full-time
Back-end*C#*ASP.NET Core,Unknown,Full-time
Back-end*C#*T-SQL*HTML5*MVC,6500000,Full-time
Front-end*Javascript*CSS*HTML,Unknown,Full-time
Full-stack*.NET Core*SOLID*reactive,Unknown,Full-time
ASP.NET MVC*#C*Entity Framework*Web API,Unknown,Full-time
C#*.NET*Sql Server*MongoDB*Parallel programming,Unknown,Full-time
Back-end*Python*API*RESTful*UI*PostgreSQL,9000000,Full-time
طراحی وب*CSS*HTML*Front-end,Unknown,Full-time
